State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
MASSACHUSETTS,BARNSTABLE COUNTY,"CHATHAM, TOWN OF (250004)", 420 ," $138,618,000 "," $528,636 "," $700,620 "
MASSACHUSETTS,BARNSTABLE COUNTY,"DENNIS, TOWN OF (250005)"," 1,222 "," $306,821,000 "," $1,211,044 "," $1,592,132 "
MASSACHUSETTS,BARNSTABLE COUNTY,"EASTHAM, TOWN OF (250006)", 174 ," $55,334,000 "," $143,805 "," $200,467 "
MASSACHUSETTS,BARNSTABLE COUNTY,"FALMOUTH, TOWN OF (255211)"," 1,806 "," $503,514,000 "," $2,577,099 "," $3,256,240 "
MASSACHUSETTS,BARNSTABLE COUNTY,"HARWICH, TOWN OF (250008)", 671 ," $195,513,000 "," $663,561 "," $857,251 "
MASSACHUSETTS,BARNSTABLE COUNTY,"MASHPEE, TOWN OF (250009)", 532 ," $160,958,000 "," $570,302 "," $748,866 "
MASSACHUSETTS,BARNSTABLE COUNTY,"ORLEANS, TOWN OF (250010)", 193 ," $62,852,000 "," $186,541 "," $250,007 "
MASSACHUSETTS,BARNSTABLE COUNTY,"PROVINCETOWN, TOWN OF (255218)"," 1,112 "," $271,420,000 "," $1,483,051 "," $1,874,580 "
MASSACHUSETTS,BARNSTABLE COUNTY,"SANDWICH, TOWN OF (250012)", 400 ," $118,822,000 "," $387,407 "," $512,746 "
MASSACHUSETTS,BARNSTABLE COUNTY,"TRURO, TOWN OF (255222)", 310 ," $65,858,000 "," $286,971 "," $389,503 "
MASSACHUSETTS,BARNSTABLE COUNTY,"WELLFLEET, TOWN OF (250014)", 190 ," $57,364,000 "," $192,261 "," $260,482 "
MASSACHUSETTS,BARNSTABLE COUNTY,"YARMOUTH, TOWN OF (250015)"," 1,039 "," $292,742,000 "," $1,536,933 "," $1,956,109 "
MASSACHUSETTS,BERKSHIRE COUNTY,"ADAMS, TOWN OF (250016)", 20 ," $2,146,000 "," $26,343 "," $32,091 "
MASSACHUSETTS,BERKSHIRE COUNTY,"ALFORD, TOWN OF (250017)", 3 ," $1,050,000 "," $3,189 "," $4,262 "
MASSACHUSETTS,BERKSHIRE COUNTY,"BECKET ,TOWN OF (250018)", 24 ," $6,107,000 "," $14,844 "," $21,963 "
MASSACHUSETTS,BERKSHIRE COUNTY,"CHESHIRE, TOWN OF (250019)", 7 ," $1,192,000 "," $6,860 "," $8,210 "
MASSACHUSETTS,BERKSHIRE COUNTY,"CLARKSBURG, TOWN OF (250020)", 8 ," $1,348,000 "," $11,327 "," $13,948 "
MASSACHUSETTS,BERKSHIRE COUNTY,"DALTON, TOWN OF (250021)", 3 ," $425,000 "," $4,694 "," $5,589 "
MASSACHUSETTS,BERKSHIRE COUNTY,"EGREMONT, TOWN OF (250022)", 51 ," $9,485,000 "," $30,539 "," $47,459 "
MASSACHUSETTS,BERKSHIRE COUNTY,"GREAT BARRINGTON, TOWN OF (250024)", 21 ," $8,794,000 "," $97,542 "," $118,148 "
MASSACHUSETTS,BERKSHIRE COUNTY,"HANCOCK, TOWN OF (250025)", 1 ," $350,000 ", $589 , $712 
MASSACHUSETTS,BERKSHIRE COUNTY,"HINSDALE, TOWN OF (250026)", 5 ," $1,257,000 "," $4,809 "," $6,208 "
MASSACHUSETTS,BERKSHIRE COUNTY,"LANESBOROUGH, TOWN OF (250027)", 6 ," $1,680,000 "," $7,168 "," $9,232 "
MASSACHUSETTS,BERKSHIRE COUNTY,"LEE, TOWN OF (250028)", 38 ," $12,889,000 "," $119,170 "," $145,974 "
MASSACHUSETTS,BERKSHIRE COUNTY,"LENOX, TOWN OF (250029)", 56 ," $14,020,000 "," $26,133 "," $33,137 "
MASSACHUSETTS,BERKSHIRE COUNTY,"MONTEREY, TOWN OF (250030)", 14 ," $4,653,000 "," $13,264 "," $18,583 "
MASSACHUSETTS,BERKSHIRE COUNTY,"NEW MARLBOROUGH, TOWN OF (250033)", 16 ," $4,592,000 "," $18,189 "," $23,303 "
MASSACHUSETTS,BERKSHIRE COUNTY,"NORTH ADAMS, CITY OF (250034)", 19 ," $6,473,000 "," $19,045 "," $25,490 "
MASSACHUSETTS,BERKSHIRE COUNTY,"OTIS, TOWN OF (250035)", 8 ," $1,896,000 "," $7,146 "," $9,241 "
MASSACHUSETTS,BERKSHIRE COUNTY,"PITTSFIELD, CITY OF (250037)", 162 ," $31,937,000 "," $301,647 "," $370,552 "
MASSACHUSETTS,BERKSHIRE COUNTY,"RICHMOND, TOWN OF (250038)", 3 ," $1,385,000 "," $2,060 "," $2,930 "
MASSACHUSETTS,BERKSHIRE COUNTY,"SANDISFIELD, TOWN OF (250039)", 9 ," $1,601,000 "," $9,490 "," $11,797 "
MASSACHUSETTS,BERKSHIRE COUNTY,"SHEFFIELD, TOWN OF (250041)", 6 ," $1,986,000 "," $9,332 "," $12,011 "
MASSACHUSETTS,BERKSHIRE COUNTY,"STOCKBRIDGE, TOWN OF (250042)", 15 ," $4,168,000 "," $15,219 "," $19,332 "
MASSACHUSETTS,BERKSHIRE COUNTY,"TYRINGHAM, TOWN OF (250043)", 3 ," $832,000 "," $2,276 "," $2,960 "
MASSACHUSETTS,BERKSHIRE COUNTY,"WEST STOCKBRIDGE, TOWN OF (250045)", 6 ," $1,910,000 "," $8,004 "," $10,445 "
MASSACHUSETTS,BERKSHIRE COUNTY,"WILLIAMSTOWN, TOWN OF (250046)", 58 ," $12,357,000 "," $58,978 "," $73,925 "
MASSACHUSETTS,BRISTOL COUNTY,"ACUSHNET, TOWN OF (250048)", 9 ," $2,679,000 "," $5,482 "," $6,617 "
MASSACHUSETTS,BRISTOL COUNTY,"ATTLEBORO, CITY OF (250049)", 237 ," $68,447,000 "," $247,921 "," $305,619 "
MASSACHUSETTS,BRISTOL COUNTY,"BERKLEY, TOWN OF (250050)", 44 ," $10,353,000 "," $60,734 "," $72,845 "
MASSACHUSETTS,BRISTOL COUNTY,"DARTMOUTH, TOWN OF (250051)", 378 ," $109,979,000 "," $515,600 "," $641,771 "
MASSACHUSETTS,BRISTOL COUNTY,"DIGHTON, TOWN OF (250052)", 66 ," $16,010,000 "," $104,686 "," $126,646 "
MASSACHUSETTS,BRISTOL COUNTY,"EASTON, TOWN OF (250053)", 104 ," $28,245,000 "," $75,235 "," $93,449 "
MASSACHUSETTS,BRISTOL COUNTY,"FAIRHAVEN, TOWN OF (250054)", 509 ," $124,398,000 "," $775,752 "," $955,765 "
MASSACHUSETTS,BRISTOL COUNTY,"FALL RIVER, CITY OF (250055)", 68 ," $21,029,000 "," $107,672 "," $131,403 "
MASSACHUSETTS,BRISTOL COUNTY,"FREETOWN, TOWN OF (250056)", 84 ," $22,619,000 "," $140,520 "," $171,032 "
MASSACHUSETTS,BRISTOL COUNTY,"MANSFIELD, TOWN OF (250057)", 33 ," $8,812,000 "," $23,936 "," $29,888 "
MASSACHUSETTS,BRISTOL COUNTY,"NEW BEDFORD, CITY OF (255216)", 255 ," $85,243,000 "," $357,127 "," $450,157 "
MASSACHUSETTS,BRISTOL COUNTY,"NORTH ATTLEBOROUGH, TOWN OF (250059)", 342 ," $93,539,000 "," $267,057 "," $330,032 "
MASSACHUSETTS,BRISTOL COUNTY,"NORTON, TOWN OF (250060)", 71 ," $18,194,000 "," $55,933 "," $68,750 "
MASSACHUSETTS,BRISTOL COUNTY,"RAYNHAM, TOWN OF (250061)", 9 ," $3,985,000 "," $21,366 "," $26,259 "
MASSACHUSETTS,BRISTOL COUNTY,"REHOBOTH, TOWN OF (250062)", 29 ," $8,402,000 "," $25,571 "," $31,328 "
MASSACHUSETTS,BRISTOL COUNTY,"SEEKONK, TOWN OF (250063)", 30 ," $8,821,000 "," $33,250 "," $41,980 "
MASSACHUSETTS,BRISTOL COUNTY,"SOMERSET, TOWN OF (255220)", 143 ," $38,402,000 "," $233,647 "," $284,589 "
MASSACHUSETTS,BRISTOL COUNTY,"SWANSEA, TOWN OF (255221)", 301 ," $71,686,000 "," $433,069 "," $524,107 "
MASSACHUSETTS,BRISTOL COUNTY,"TAUNTON, CITY OF (250066)", 332 ," $86,363,000 "," $256,126 "," $313,574 "
MASSACHUSETTS,BRISTOL COUNTY,"WESTPORT, TOWN OF (255224)", 232 ," $69,107,000 "," $299,049 "," $384,266 "
MASSACHUSETTS,DUKES COUNTY,"AQUINNAH, TOWN OF (250070)", 22 ," $7,400,000 "," $35,739 "," $47,262 "
MASSACHUSETTS,DUKES COUNTY,"EDGARTOWN, TOWN OF (250069)", 512 ," $155,990,000 "," $729,212 "," $954,683 "
MASSACHUSETTS,DUKES COUNTY,"GOSNOLD, TOWN OF (250071)", 8 ," $2,727,000 "," $4,453 "," $6,738 "
MASSACHUSETTS,DUKES COUNTY,"OAK BLUFFS, TOWN OF (250072)", 209 ," $68,726,000 "," $361,398 "," $462,329 "
MASSACHUSETTS,DUKES COUNTY,"TISBURY, TOWN OF (250073)", 140 ," $50,251,000 "," $324,033 "," $411,003 "
MASSACHUSETTS,DUKES COUNTY,"WEST TISBURY, TOWN OF (250074)", 39 ," $13,064,000 "," $26,293 "," $37,520 "
MASSACHUSETTS,ESSEX COUNTY,"AMESBURY, CITY OF (250075)", 118 ," $33,494,000 "," $135,250 "," $164,387 "
MASSACHUSETTS,ESSEX COUNTY,"ANDOVER, TOWN OF (250076)", 425 ," $100,222,000 "," $512,823 "," $616,056 "
MASSACHUSETTS,ESSEX COUNTY,"BEVERLY, CITY OF (250077)", 318 ," $92,090,000 "," $253,084 "," $312,729 "
MASSACHUSETTS,ESSEX COUNTY,"BOXFORD, TOWN OF (250078)", 14 ," $4,493,000 "," $9,266 "," $11,614 "
MASSACHUSETTS,ESSEX COUNTY,"DANVERS, TOWN OF (250079)", 221 ," $52,943,000 "," $212,955 "," $261,242 "
MASSACHUSETTS,ESSEX COUNTY,"ESSEX, TOWN OF (250080)", 42 ," $13,828,000 "," $75,313 "," $95,189 "
MASSACHUSETTS,ESSEX COUNTY,"GEORGETOWN, TOWN OF (250081)", 37 ," $9,853,000 "," $29,774 "," $36,642 "
MASSACHUSETTS,ESSEX COUNTY,"GLOUCESTER, CITY OF (250082)", 708 ," $215,346,000 "," $950,786 "," $1,196,116 "
MASSACHUSETTS,ESSEX COUNTY,"GROVELAND, TOWN OF (250083)", 17 ," $5,003,000 "," $29,511 "," $35,556 "
MASSACHUSETTS,ESSEX COUNTY,"HAMILTON, TOWN OF (250084)", 28 ," $9,105,000 "," $16,991 "," $20,736 "
MASSACHUSETTS,ESSEX COUNTY,"HAVERHILL, CITY OF (250085)", 356 ," $81,449,000 "," $455,354 "," $558,559 "
MASSACHUSETTS,ESSEX COUNTY,"IPSWICH, TOWN OF (250086)", 86 ," $25,729,000 "," $103,060 "," $128,634 "
MASSACHUSETTS,ESSEX COUNTY,"LAWRENCE, CITY OF (250087)", 240 ," $73,733,000 "," $765,609 "," $934,814 "
MASSACHUSETTS,ESSEX COUNTY,"LYNN, CITY OF (250088)", 804 ," $229,339,000 "," $786,299 "," $978,715 "
MASSACHUSETTS,ESSEX COUNTY,"LYNNFIELD, TOWN OF (250089)", 48 ," $14,160,000 "," $38,784 "," $47,680 "
MASSACHUSETTS,ESSEX COUNTY,"MANCHESTER-BY-THE-SEA, TOWN OF (250090)", 114 ," $34,644,000 "," $171,181 "," $211,277 "
MASSACHUSETTS,ESSEX COUNTY,"MARBLEHEAD, TOWN OF (250091)", 314 ," $95,773,000 "," $371,701 "," $457,046 "
MASSACHUSETTS,ESSEX COUNTY,"MERRIMAC, TOWN OF (250092)", 22 ," $5,922,000 "," $16,682 "," $20,500 "
MASSACHUSETTS,ESSEX COUNTY,"METHUEN, CITY OF (250093)", 110 ," $37,060,000 "," $178,216 "," $220,889 "
MASSACHUSETTS,ESSEX COUNTY,"MIDDLETON, TOWN OF (250094)", 23 ," $7,230,000 "," $21,015 "," $27,102 "
MASSACHUSETTS,ESSEX COUNTY,"NAHANT, TOWN OF (250095)", 191 ," $54,002,000 "," $362,912 "," $443,021 "
MASSACHUSETTS,ESSEX COUNTY,"NEWBURYPORT, CITY OF (250097)", 506 ," $149,576,000 "," $624,279 "," $777,438 "
MASSACHUSETTS,ESSEX COUNTY,"NEWBURY, TOWN OF (250096)", 449 ," $135,693,000 "," $482,532 "," $616,877 "
MASSACHUSETTS,ESSEX COUNTY,"NORTH ANDOVER, TOWN OF (250098)", 137 ," $39,875,000 "," $169,992 "," $209,127 "
MASSACHUSETTS,ESSEX COUNTY,"PEABODY, CITY OF (250099)", 552 ," $133,745,000 "," $393,881 "," $482,759 "
MASSACHUSETTS,ESSEX COUNTY,"ROCKPORT, TOWN OF (250100)", 249 ," $71,995,000 "," $312,491 "," $399,055 "
MASSACHUSETTS,ESSEX COUNTY,"ROWLEY, TOWN OF (250101)", 11 ," $3,457,000 "," $9,237 "," $11,307 "
MASSACHUSETTS,ESSEX COUNTY,"SALEM, CITY OF (250102)", 594 ," $175,827,000 "," $798,204 "," $991,007 "
MASSACHUSETTS,ESSEX COUNTY,"SALISBURY, TOWN OF (250103)"," 1,122 "," $278,929,000 "," $1,126,285 "," $1,433,871 "
MASSACHUSETTS,ESSEX COUNTY,"SAUGUS, TOWN OF (250104)", 378 ," $105,065,000 "," $519,266 "," $634,536 "
MASSACHUSETTS,ESSEX COUNTY,"SWAMPSCOTT, TOWN OF (250105)", 348 ," $99,828,000 "," $364,684 "," $451,172 "
MASSACHUSETTS,ESSEX COUNTY,"TOPSFIELD, TOWN OF (250106)", 30 ," $8,467,000 "," $22,425 "," $28,307 "
MASSACHUSETTS,ESSEX COUNTY,"WENHAM, TOWN OF (250107)", 10 ," $3,750,000 "," $6,792 "," $8,629 "
MASSACHUSETTS,ESSEX COUNTY,"WEST NEWBURY, TOWN OF (250108)", 26 ," $8,035,000 "," $22,149 "," $27,466 "
MASSACHUSETTS,FRANKLIN COUNTY,"ASHFIELD, TOWN OF (250109)", 5 ," $1,680,000 "," $3,259 "," $4,153 "
MASSACHUSETTS,FRANKLIN COUNTY,"BERNARDSTON, TOWN OF (250110)", 8 ," $1,426,000 "," $6,833 "," $9,096 "
MASSACHUSETTS,FRANKLIN COUNTY,"BUCKLAND, TOWN OF (250111)", 4 ," $860,000 "," $7,633 "," $9,523 "
MASSACHUSETTS,FRANKLIN COUNTY,"CHARLEMONT, TOWN OF (250112)", 10 ," $1,969,000 "," $18,740 "," $24,528 "
MASSACHUSETTS,FRANKLIN COUNTY,"COLRAIN, TOWN OF (250113)", 4 ," $991,000 "," $5,143 "," $6,361 "
MASSACHUSETTS,FRANKLIN COUNTY,"CONWAY, TOWN OF (250114)", 8 ," $2,520,000 "," $12,736 "," $15,385 "
MASSACHUSETTS,FRANKLIN COUNTY,"DEERFIELD, TOWN OF (250115)", 26 ," $8,285,000 "," $33,944 "," $42,057 "
MASSACHUSETTS,FRANKLIN COUNTY,"ERVING, TOWN OF (250116)", 2 ," $700,000 "," $1,296 "," $1,562 "
MASSACHUSETTS,FRANKLIN COUNTY,"GILL, TOWN OF (250117)", 4 ," $1,300,000 "," $2,522 "," $3,043 "
MASSACHUSETTS,FRANKLIN COUNTY,"GREENFIELD, CITY OF (250118)", 44 ," $18,559,000 "," $71,886 "," $92,083 "
MASSACHUSETTS,FRANKLIN COUNTY,"HAWLEY, TOWN OF (250119)", 3 ," $950,000 "," $5,105 "," $6,073 "
MASSACHUSETTS,FRANKLIN COUNTY,"HEATH, TOWN OF (250350)", 1 ," $350,000 ", $854 ," $1,024 "
MASSACHUSETTS,FRANKLIN COUNTY,"LEVERETT, TOWN OF (250120)", 6 ," $1,748,000 "," $9,221 "," $10,980 "
MASSACHUSETTS,FRANKLIN COUNTY,"MONTAGUE, TOWN OF (250122)", 8 ," $2,536,000 "," $9,991 "," $11,922 "
MASSACHUSETTS,FRANKLIN COUNTY,"NEW SALEM, TOWN OF (250123)", 1 ," $350,000 ", $481 , $584 
MASSACHUSETTS,FRANKLIN COUNTY,"NORTHFIELD, TOWN OF (250124)", 7 ," $1,921,000 "," $7,534 "," $9,230 "
MASSACHUSETTS,FRANKLIN COUNTY,"ORANGE, TOWN OF (250125)", 3 ," $775,000 "," $7,106 "," $8,659 "
MASSACHUSETTS,FRANKLIN COUNTY,"SHELBURNE, TOWN OF (250127)", 6 ," $1,608,000 "," $4,735 "," $6,136 "
MASSACHUSETTS,FRANKLIN COUNTY,"SHUTESBURY, TOWN OF (250128)", 2 ," $600,000 "," $1,811 "," $2,170 "
MASSACHUSETTS,FRANKLIN COUNTY,"SUNDERLAND, TOWN OF (250129)", 6 ," $1,747,000 "," $5,183 "," $6,440 "
MASSACHUSETTS,FRANKLIN COUNTY,"WHATELY, TOWN OF (250132)", 3 ," $1,200,000 "," $3,722 "," $4,666 "
MASSACHUSETTS,HAMPDEN COUNTY,"AGAWAM, TOWN OF (250133)", 122 ," $29,534,000 "," $174,003 "," $211,316 "
MASSACHUSETTS,HAMPDEN COUNTY,"BLANDFORD, TOWN OF (250134)", 1 ," $350,000 ", $855 ," $1,025 "
MASSACHUSETTS,HAMPDEN COUNTY,"BRIMFIELD, TOWN OF (250135)", 9 ," $2,828,000 "," $7,812 "," $9,818 "
MASSACHUSETTS,HAMPDEN COUNTY,"CHESTER, TOWN OF (250136)", 28 ," $4,551,000 "," $61,828 "," $74,320 "
MASSACHUSETTS,HAMPDEN COUNTY,"CHICOPEE, CITY OF (250137)", 58 ," $19,549,000 "," $61,601 "," $77,471 "
MASSACHUSETTS,HAMPDEN COUNTY,"EAST LONGMEADOW, TOWN OF (250138)", 10 ," $3,151,000 "," $5,656 "," $7,064 "
MASSACHUSETTS,HAMPDEN COUNTY,"GRANVILLE, TOWN OF (250139)", 2 ," $385,000 "," $1,647 "," $1,977 "
MASSACHUSETTS,HAMPDEN COUNTY,"HAMPDEN, TOWN OF (250140)", 16 ," $3,917,000 "," $20,158 "," $24,050 "
MASSACHUSETTS,HAMPDEN COUNTY,"HOLLAND, TOWN OF (250141)", 27 ," $6,937,000 "," $24,327 "," $29,830 "
MASSACHUSETTS,HAMPDEN COUNTY,"HOLYOKE, CITY OF (250142)", 23 ," $8,643,000 "," $34,098 "," $43,316 "
MASSACHUSETTS,HAMPDEN COUNTY,"LONGMEADOW, TOWN OF (250143)", 21 ," $5,918,000 "," $36,506 "," $43,424 "
MASSACHUSETTS,HAMPDEN COUNTY,"LUDLOW, TOWN OF (250144)", 13 ," $2,892,000 "," $16,512 "," $20,147 "
MASSACHUSETTS,HAMPDEN COUNTY,"MONSON, TOWN OF (250145)", 7 ," $2,417,000 "," $8,257 "," $10,308 "
MASSACHUSETTS,HAMPDEN COUNTY,"PALMER, TOWN OF (250147)", 18 ," $6,663,000 "," $32,664 "," $41,543 "
MASSACHUSETTS,HAMPDEN COUNTY,"RUSSELL, TOWN OF (250148)", 11 ," $1,704,000 "," $21,443 "," $25,708 "
MASSACHUSETTS,HAMPDEN COUNTY,"SOUTHWICK, TOWN OF (250149)", 15 ," $3,953,000 "," $12,458 "," $15,173 "
MASSACHUSETTS,HAMPDEN COUNTY,"SPRINGFIELD, CITY OF (250150)", 78 ," $36,602,000 "," $74,962 "," $101,665 "
MASSACHUSETTS,HAMPDEN COUNTY,Unknown (Unknown), 1 ," $64,000 "," $1,254 "," $1,496 "
MASSACHUSETTS,HAMPDEN COUNTY,"WALES, TOWN OF (250152)", 4 ," $776,000 "," $2,178 "," $2,861 "
MASSACHUSETTS,HAMPDEN COUNTY,"WESTFIELD, CITY OF (250153)", 173 ," $46,641,000 "," $381,485 "," $465,620 "
MASSACHUSETTS,HAMPDEN COUNTY,"WEST SPRINGFIELD, TOWN OF (250155)", 33 ," $12,926,000 "," $49,439 "," $62,710 "
MASSACHUSETTS,HAMPDEN COUNTY,"WILBRAHAM, TOWN OF (250154)", 27 ," $10,129,000 "," $31,146 "," $38,324 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"AMHERST, TOWN OF (250156)", 42 ," $10,478,000 "," $37,373 "," $46,571 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"BELCHERTOWN, TOWN OF (250157)", 12 ," $3,384,000 "," $8,226 "," $10,357 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"CHESTERFIELD, TOWN OF (250158)", 3 ," $566,000 "," $5,021 "," $6,200 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"CUMMINGTON, TOWN OF (250159)", 5 ," $1,086,000 "," $9,395 "," $11,619 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"EASTHAMPTON, TOWN OF (250160)", 24 ," $6,033,000 "," $33,614 "," $40,961 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"GRANBY, TOWN OF (250162)", 14 ," $3,734,000 "," $10,091 "," $13,262 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"HADLEY, TOWN OF (250163)", 80 ," $23,196,000 "," $78,072 "," $98,624 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"HATFIELD, TOWN OF (250164)", 30 ," $7,132,000 "," $41,669 "," $51,913 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"HUNTINGTON, TOWN OF (250165)", 19 ," $3,727,000 "," $38,846 "," $47,053 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"MIDDLEFIELD, TOWN OF (250166)", 3 ," $813,000 "," $3,608 "," $4,757 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"NORTHAMPTON, CITY OF (250167)", 98 ," $29,486,000 "," $138,095 "," $169,522 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"SOUTHAMPTON, TOWN OF (250171)", 2 ," $433,000 "," $1,548 "," $1,859 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"SOUTH HADLEY, TOWN OF (250170)", 57 ," $12,868,000 "," $41,034 "," $50,057 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"WARE, TOWN OF (250172)", 25 ," $5,520,000 "," $50,332 "," $62,056 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"WESTHAMPTON, TOWN OF (250173)", 5 ," $1,630,000 "," $9,883 "," $12,420 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"WILLIAMSBURG, TOWN OF (250174)", 13 ," $2,817,000 "," $14,830 "," $18,840 "
MASSACHUSETTS,HAMPSHIRE COUNTY,"WORTHINGTON, TOWN OF (250175)", 4 ," $672,000 "," $5,254 "," $6,491 "
MASSACHUSETTS,MIDDLESEX COUNTY,"ACTON, TOWN OF (250176)", 123 ," $38,715,000 "," $96,086 "," $120,838 "
MASSACHUSETTS,MIDDLESEX COUNTY,"ARLINGTON, TOWN OF (250177)", 661 ," $144,897,000 "," $459,678 "," $564,158 "
MASSACHUSETTS,MIDDLESEX COUNTY,"ASHBY, TOWN OF (250178)", 6 ," $1,606,000 "," $5,356 "," $6,420 "
MASSACHUSETTS,MIDDLESEX COUNTY,"ASHLAND, TOWN OF (250179)", 56 ," $14,662,000 "," $57,326 "," $73,817 "
MASSACHUSETTS,MIDDLESEX COUNTY,"AYER, TOWN OF (250180)", 40 ," $11,680,000 "," $36,510 "," $48,594 "
MASSACHUSETTS,MIDDLESEX COUNTY,"BEDFORD, TOWN OF (255209)", 164 ," $45,910,000 "," $159,056 "," $195,505 "
MASSACHUSETTS,MIDDLESEX COUNTY,"BELMONT, TOWN OF (250182)", 47 ," $15,765,000 "," $39,973 "," $49,065 "
MASSACHUSETTS,MIDDLESEX COUNTY,"BILLERICA, TOWN OF (250183)", 182 ," $53,459,000 "," $207,333 "," $252,843 "
MASSACHUSETTS,MIDDLESEX COUNTY,"BOXBOROUGH, TOWN OF (250184)", 14 ," $4,365,000 "," $9,794 "," $12,238 "
MASSACHUSETTS,MIDDLESEX COUNTY,"BURLINGTON, TOWN OF (250185)", 90 ," $30,008,000 "," $115,569 "," $144,162 "
MASSACHUSETTS,MIDDLESEX COUNTY,"CAMBRIDGE, CITY OF (250186)", 626 ," $93,939,000 "," $261,411 "," $329,789 "
MASSACHUSETTS,MIDDLESEX COUNTY,"CARLISLE, TOWN OF (250187)", 13 ," $4,267,000 "," $7,273 "," $8,797 "
MASSACHUSETTS,MIDDLESEX COUNTY,"CHELMSFORD, TOWN OF (250188)", 297 ," $74,812,000 "," $325,918 "," $400,816 "
MASSACHUSETTS,MIDDLESEX COUNTY,"CONCORD, TOWN OF (250189)", 128 ," $42,975,000 "," $141,004 "," $176,582 "
MASSACHUSETTS,MIDDLESEX COUNTY,"DRACUT, TOWN OF (250190)", 30 ," $9,295,000 "," $40,413 "," $50,882 "
MASSACHUSETTS,MIDDLESEX COUNTY,"DUNSTABLE, TOWN OF (250191)", 4 ," $1,060,000 "," $3,808 "," $4,560 "
MASSACHUSETTS,MIDDLESEX COUNTY,"EVERETT, CITY OF (250192)", 12 ," $5,161,000 "," $23,985 "," $30,078 "
MASSACHUSETTS,MIDDLESEX COUNTY,"FRAMINGHAM, TOWN OF (250193)", 594 ," $110,083,000 "," $296,064 "," $378,269 "
MASSACHUSETTS,MIDDLESEX COUNTY,"GROTON, TOWN OF (250194)", 26 ," $7,922,000 "," $28,967 "," $35,960 "
MASSACHUSETTS,MIDDLESEX COUNTY,"HOLLISTON, TOWN OF (250195)", 54 ," $15,487,000 "," $53,823 "," $66,205 "
MASSACHUSETTS,MIDDLESEX COUNTY,"HOPKINTON, TOWN OF (250196)", 19 ," $5,248,000 "," $9,283 "," $11,718 "
MASSACHUSETTS,MIDDLESEX COUNTY,"HUDSON, TOWN OF (250197)", 41 ," $12,725,000 "," $48,567 "," $59,791 "
MASSACHUSETTS,MIDDLESEX COUNTY,"LEXINGTON, TOWN OF (250198)", 88 ," $29,847,000 "," $63,892 "," $79,549 "
MASSACHUSETTS,MIDDLESEX COUNTY,"LINCOLN, TOWN OF (250199)", 14 ," $4,036,000 "," $5,285 "," $7,818 "
MASSACHUSETTS,MIDDLESEX COUNTY,"LITTLETON, TOWN OF (250200)", 14 ," $5,139,000 "," $17,552 "," $22,067 "
MASSACHUSETTS,MIDDLESEX COUNTY,"LOWELL, CITY OF (250201)"," 1,098 "," $219,295,000 "," $697,766 "," $851,887 "
MASSACHUSETTS,MIDDLESEX COUNTY,"MALDEN, CITY OF (250202)", 144 ," $37,576,000 "," $173,554 "," $215,278 "
MASSACHUSETTS,MIDDLESEX COUNTY,"MARLBOROUGH, CITY OF (250203)", 41 ," $13,771,000 "," $21,677 "," $27,157 "
MASSACHUSETTS,MIDDLESEX COUNTY,"MAYNARD, TOWN OF (250204)", 16 ," $5,753,000 "," $25,956 "," $31,792 "
MASSACHUSETTS,MIDDLESEX COUNTY,"MEDFORD, CITY OF (250205)", 66 ," $19,087,000 "," $67,126 "," $83,426 "
MASSACHUSETTS,MIDDLESEX COUNTY,"MELROSE , CITY OF (250206)", 256 ," $66,289,000 "," $113,555 "," $138,367 "
MASSACHUSETTS,MIDDLESEX COUNTY,"NATICK, TOWN OF (250207)", 69 ," $21,147,000 "," $54,124 "," $66,360 "
MASSACHUSETTS,MIDDLESEX COUNTY,"NEWTON, CITY OF (250208)", 441 ," $126,315,000 "," $327,903 "," $405,543 "
MASSACHUSETTS,MIDDLESEX COUNTY,"NORTH READING, TOWN OF (250209)", 50 ," $14,253,000 "," $47,791 "," $60,370 "
MASSACHUSETTS,MIDDLESEX COUNTY,"PEPPERELL, TOWN OF (250210)", 20 ," $4,904,000 "," $24,570 "," $29,998 "
MASSACHUSETTS,MIDDLESEX COUNTY,"READING, TOWN OF (250211)", 36 ," $10,629,000 "," $20,065 "," $25,322 "
MASSACHUSETTS,MIDDLESEX COUNTY,"SHERBORN, TOWN OF (250212)", 10 ," $3,459,000 "," $5,057 "," $6,582 "
MASSACHUSETTS,MIDDLESEX COUNTY,"SHIRLEY, TOWN OF (250213)", 11 ," $1,884,000 "," $8,945 "," $11,412 "
